Frequency(Hz),Voltage(dBm)
1965280,-76.80212402
1970850,-76.50639343
1976420,-76.57987213
1981990,-77.62432098
1987560,-80.02689362
1993130,-84.11336517
1998700,-88.56127167
2004270,-88.44499969
2009840,-82.89513397
2015410,-82.32556152
2020980,-82.47894287
2026550,-85.12321472
2032120,-88.924263
2037690,-88.89472961
2043260,-88.38388062
2048830,-89.92465973
2054400,-92.48226929
2059970,-93.41260529
2065540,-92.07504272
2071110,-91.78385925
2076680,-91.84090424
2082250,-93.42713165
2087820,-96.59774017
2093390,-96.39102936
2098960,-87.82739258
2104530,-85.90081787
2110100,-85.55551147
2115670,-85.61830902
2121240,-86.03321838
2126810,-86.02435303
2132380,-84.4729538
2137950,-84.21517181
2143520,-84.2566452
2149090,-85.12526703
2154660,-86.55670166
2160230,-86.61353302
2165800,-85.69848633
2171370,-86.04051208
2176940,-86.56518555
2182510,-86.46238708
2188080,-81.30452728
2193650,-80.77789307
2199220,-80.88638306
2204790,-82.04203796
2210360,-81.02620697
2215930,-80.98601532
2221500,-80.32225037
2227070,-81.08738708
2232640,-83.35527802
2238210,-84.8355484
2243780,-83.99429321
2249350,-83.97785187
2254920,-83.7436676
2260490,-84.25421906
2266060,-83.85276794
2271630,-83.82288361
2277200,-82.79779816
2282770,-82.84088135
2288340,-83.59527588
2293910,-85.30588531
2299480,-87.41993713
2305050,-88.61342621
2310620,-86.63174438
2316190,-86.35652161
2321760,-86.63089752
2327330,-89.68928528
2332900,-99.13983917
2338470,-103.3153152
2344040,-90.66431427
2349610,-85.96817017
2355180,-83.9495163
2360750,-84.75452423
2366320,-83.89573669
2371890,-90.00909424
2377460,-94.22307587
2383030,-94.08094025
2388600,-87.36460876
2394170,-84.77339935
2399740,-83.02333832
2405310,-81.79334259
2410880,-80.74989319
2416450,-79.96138763
2422020,-79.61832428
2427590,-79.62272644
2433160,-79.9023056
2438730,-81.01371002
2444300,-82.85431671
2449870,-84.39477539
2455440,-84.306427
2461010,-84.27322388
2466580,-82.56534576
2472150,-84.11261749
2477720,-82.59511566
2483290,-91.60041046
2488860,-88.80390167
2494430,-89.39316559
2500000,-88.62106323
2505570,-94.96572113
2511140,-99.08837891
2516710,-98.90078735
2522280,-89.41402435
2527850,-86.38941193
2533420,-84.77506256
2538990,-83.89146423
2544560,-83.16410065
2550130,-82.47011566
2555700,-81.96812439
2561270,-81.8478241
2566840,-81.89229584
2572410,-82.59133911
2577980,-84.61122894
2583550,-88.06082153
2589120,-90.66683197
2594690,-91.67202759
2600260,-93.21206665
2605830,-95.76819611
2611400,-91.97871399
2616970,-89.39424133
2622540,-87.00097656
2628110,-84.93731689
2633680,-83.59353638
2639250,-82.91055298
2644820,-82.58360291
2650390,-82.55515289
2655960,-82.70314789
2661530,-83.64022064
2667100,-85.27307129
2672670,-86.37332916
2678240,-86.49784851
2683810,-86.6510849
2689380,-87.60273743
2694950,-89.78816986
2700520,-91.57395172
2706090,-91.47126007
2711660,-85.24063873
2717230,-82.97577667
2722800,-81.77442932
2728370,-81.50910187
2733940,-81.53762054
2739510,-81.98591614
2745080,-82.53525543
2750650,-82.80622101
2756220,-83.16578674
2761790,-84.19780731
2767360,-86.21094513
2772930,-87.88430023
2778500,-85.11991119
2784070,-83.63050842
2789640,-82.75215912
2795210,-82.27337646
2800780,-82.09854889
2806350,-82.10716248
2811920,-82.35675812
2817490,-83.42652893
2823060,-84.93086243
2828630,-84.8740387
2834200,-81.11105347
2839770,-80.20207214
2845340,-80.15214539
2850910,-80.38594818
2856480,-81.18570709
2862050,-81.71255493
2867620,-81.59018707
2873190,-81.58518982
2878760,-81.62680054
2884330,-81.82387543
2889900,-82.38942719
2895470,-83.89877319
2901040,-87.27864838
2906610,-90.13137054
2912180,-86.19068146
2917750,-85.39320374
2923320,-85.40579224
2928890,-84.59736633
2934460,-82.62273407
2940030,-81.81035614
2945600,-81.83760071
2951170,-83.56277466
2956740,-85.85001373
2962310,-85.76599121
2967880,-82.20361328
2973450,-81.37628174
2979020,-81.13512421
2984590,-81.14505768
2990160,-81.50481415
2995730,-82.27037048
3001300,-81.03318024
3006870,-80.9489212
3012440,-77.39719391
3018010,-77.04543304
3023580,-77.13757324
3029150,-78.5630188
3034720,-81.70116425
3040290,-84.61303711
3045860,-83.80244446
3051430,-83.74827576
3057000,-81.23111725
3062570,-80.76873016
3068140,-80.78601074
3073710,-81.82561493
3079280,-84.7497406
3084850,-85.96733093
3090420,-83.10169983
3095990,-82.71068573
3101560,-82.7433548
3107130,-83.65684509
3112700,-86.56681824
3118270,-94.89016724
3123840,-86.80767059
3129410,-83.97684479
3134980,-83.50245667
3140550,-83.71764374
3146120,-85.93708038
3151690,-89.90031433
3157260,-92.79919434
3162830,-92.74994659
3168400,-89.35217285
3173970,-87.3211441
3179540,-84.97367096
3185110,-82.69458008
3190680,-80.96046448
3196250,-80.02865601
3201820,-79.79575348
3207390,-79.80149841
3212960,-79.86398315
3218530,-79.97852325
3224100,-80.29207611
3229670,-80.88626099
3235240,-81.43999481
3240810,-81.55911255
3246380,-81.68908691
3251950,-83.26821136
3257520,-86.6175766
3263090,-86.4271698
3268660,-78.94422913
3274230,-77.83404541
3279800,-77.8394928
3285370,-78.89680481
3290940,-82.12552643
3296510,-86.77462769
3302080,-89.97531891
3307650,-90.4066925
3313220,-85.48605347
3318790,-83.40776062
3324360,-82.29271698
3329930,-81.25772095
3335500,-79.75390625
3341070,-78.32859039
3346640,-77.60529327
3352210,-77.5801239
3357780,-77.90167999
3363350,-79.04653931
3368920,-80.03510284
3374490,-80.01763153
3380060,-79.07962036
3385630,-79.08698273
3391200,-79.6820755
3396770,-81.7216568
3402340,-85.18006897
3407910,-86.06352997
3413480,-81.73181915
3419050,-80.60319519
3424620,-80.55831909
3430190,-81.05608368
3435760,-83.24790192
3441330,-87.47040558
3446900,-94.68763733
3452470,-95.1215744
3458040,-86.66297913
3463610,-84.1285553
3469180,-83.54007721
3474750,-85.52728271
3480320,-83.6427536
3485890,-89.35781097
3491460,-85.96965027
3497030,-84.3571701
3502600,-84.18606567
3508170,-84.42933655
3513740,-85.28287506
3519310,-85.31385803
3524880,-83.77747345
3530450,-82.9438858
3536020,-82.2976532
3541590,-81.9017334
3547160,-81.85954285
3552730,-82.00469971
3558300,-83.11698151
3563870,-85.483284
3569440,-83.69564056
3575010,-83.56861115
3580580,-79.35760498
3586150,-79.15512848
3591720,-79.41365814
3597290,-81.24185944
3602860,-84.03874207
3608430,-85.6499939
3614000,-85.06414795
3619570,-85.034935
3625140,-82.31416321
3630710,-80.52476501
3636280,-79.57266235
3641850,-80.17389679
3647420,-79.55918121
3652990,-82.6132431
3658560,-84.80509949
3664130,-85.00043488
3669700,-84.41207886
3675270,-84.44412231
3680840,-85.19761658
3686410,-87.99113464
3691980,-94.0040741
3697550,-93.81136322
3703120,-85.75857544
3708690,-83.04998779
3714260,-81.07530975
3719830,-79.69768524
3725400,-78.7756424
3730970,-78.0199585
3736540,-77.35366058
3742110,-77.14215851
3747680,-77.18720245
3753250,-78.15039825
3758820,-80.83564758
3764390,-84.47014618
3769960,-84.2064743
3775530,-84.17446899
3781100,-83.93953705
3786670,-85.71974945
3792240,-89.67836761
3797810,-94.99207306
3803380,-88.59886932
3808950,-86.57260132
3814520,-86.49306488
3820090,-87.66988373
3825660,-93.59614563
3831230,-93.45670319
3836800,-88.38896179
3842370,-88.22150421
3847940,-88.48085022
3853510,-89.2882843
3859080,-90.28617859
3864650,-95.40068054
3870220,-89.86794281
3875790,-85.98960876
3881360,-83.62107086
3886930,-82.6830368
3892500,-82.66627502
3898070,-83.27612305
3903640,-86.31549835
3909210,-93.45670319
3914780,-87.216362
3920350,-83.7973938
3925920,-81.42797089
3931490,-79.81732178
3937060,-78.82396698
3942630,-78.52563477
3948200,-78.54060364
3953770,-79.11843872
3959340,-80.56934357
3964910,-83.13976288
3970480,-86.15409088
3976050,-86.01428223
3981620,-79.52732849
3987190,-78.25708008
3992760,-78.21752167
3998330,-78.7983551
4003900,-81.37490082
4009470,-87.18642426
4015040,-85.75439453
4020610,-85.61603546
4026180,-82.78378296
4031750,-83.03256989
4037320,-84.22595215
4042890,-84.11708069
4048460,-78.55670166
4054030,-76.92788696
4059600,-76.45279694
4065170,-77.1532135
4070740,-76.46818542
4076310,-79.15652466
4081880,-82.61063385
4087450,-90.74189758
4093020,-85.20240784
4098590,-84.98612976
4104160,-77.71133423
4109730,-76.06373596
4115300,-75.67015839
4120870,-75.69639587
4126440,-76.41300201
4132010,-77.65515137
4137580,-78.56531525
4143150,-78.53942108
4148720,-78.28726959
4154290,-78.24034882
4159860,-78.27272797
4165430,-78.62617493
4171000,-79.74151611
4176570,-82.84946442
4182140,-87.99121857
4187710,-87.87970734
4193280,-85.55477142
4198850,-86.17948151
4204420,-91.68037415
4209990,-95.88212585
4215560,-91.77989197
4221130,-89.8988266
4226700,-88.04106903
4232270,-86.92733002
4237840,-86.90512848
4243410,-88.41060638
4248980,-82.66165161
4254550,-77.63261414
4260120,-73.95244598
4265690,-71.85593414
4271260,-71.20392609
4276830,-71.79738617
4282400,-71.21066284
4287970,-73.58525085
4293540,-76.24126434
4299110,-78.76976013
4304680,-80.00301361
4310250,-80.49767303
4315820,-81.43236542
4321390,-84.33322144
4326960,-89.37673187
4332530,-89.14909363
4338100,-80.06547546
4343670,-77.64306641
4349240,-77.24203491
4354810,-77.56478882
4360380,-81.78258514
4365950,-85.71038055
4371520,-80.29627991
4377090,-79.79567719
4382660,-79.97299957
4388230,-80.8819046
4393800,-76.67126465
4399370,-74.91348267
4404940,-74.72147369
4410510,-75.17008209
4416080,-78.37553406
4421650,-82.48903656
4427220,-83.00603485
4432790,-83.14440155
4438360,-76.22192383
4443930,-72.88116455
4449500,-71.44205475
4455070,-72.39126587
4460640,-71.42171478
4466210,-76.3600235
4471780,-76.99822235
4477350,-76.9429245
4482920,-76.46002197
4488490,-78.71374512
4494060,-79.59447479
4499630,-79.45595551
4505200,-74.50032806
4510770,-74.1293335
4516340,-74.3445282
4521910,-77.42151642
