Freq(Hz),Voltage(dBm)
1391570,-63.03847504
1397140,-62.0030365
1402710,-60.74742126
1408280,-59.430233
1413850,-58.80793762
1419420,-58.83466721
1424990,-59.88593292
1430560,-64.53588104
1436130,-69.91648865
1441700,-64.3877182
1447270,-62.61779404
1452840,-62.48271179
1458410,-63.24155807
1463980,-67.6791687
1469550,-67.50479126
1475120,-60.47779465
1480690,-61.07514954
1486260,-60.27761078
1491830,-68.36079407
1497400,-62.35248947
1502970,-59.74074554
1508540,-58.84004593
1514110,-58.83795166
1519680,-59.03475189
1525250,-59.27262497
1530820,-59.25769806
1536390,-59.32427216
1541960,-59.92794418
1547530,-61.56705093
1553100,-61.92479324
1558670,-61.8392601
1564240,-57.32289505
1569810,-56.72866058
1575380,-56.77725601
1580950,-58.22669983
1586520,-62.79750061
1592090,-66.02240753
1597660,-61.18811417
1603230,-59.03824997
1608800,-56.84550858
1614370,-54.67830658
1619940,-52.95879745
1625510,-51.8945694
1631080,-51.49728394
1636650,-51.51037979
1642220,-51.76825714
1647790,-52.68608475
1653360,-54.26929855
1658930,-56.16260529
1664500,-57.19205475
1670070,-57.18271637
1675640,-55.76296616
1681210,-55.75263214
1686780,-56.15346527
1692350,-58.18529129
1697920,-63.79096603
1703490,-68.37496185
1709060,-63.20724869
1714630,-61.288414
1720200,-59.11447144
1725770,-56.62322998
1731340,-54.67843246
1736910,-54.04043198
1742480,-54.07872009
1748050,-55.50777054
1753620,-60.24090195
1759190,-65.35955048
1764760,-64.59044647
1770330,-64.53417206
1775900,-59.36215591
1781470,-57.64737701
1787040,-57.43454742
1792610,-57.74485016
1798180,-59.88751221
1803750,-61.14378738
1809320,-56.81007767
1814890,-55.66305923
1820460,-55.66424942
1826030,-56.51665878
1831600,-58.88734436
1837170,-59.85618973
1842740,-59.17441559
1848310,-59.24979019
1853880,-58.10369873
1859450,-56.38608932
1865020,-55.04701614
1870590,-54.23730087
1876160,-53.65218353
1881730,-53.07397461
1887300,-52.67683411
1892870,-52.64889526
1898440,-52.78025055
1904010,-53.51249313
1909580,-54.91482162
1915150,-56.68868637
1920720,-57.91281509
1926290,-58.34230042
1931860,-58.85800552
1937430,-60.44728851
1943000,-62.25495911
1948570,-62.16478729
1954140,-57.37249756
1959710,-56.70685196
1965280,-56.7400589
1970850,-57.80176163
1976420,-59.43170547
1981990,-59.96302795
1987560,-58.35005951
1993130,-57.00756836
1998700,-56.20455551
2004270,-56.17069626
2009840,-56.49526596
2015410,-57.80401993
2020980,-59.5682869
2026550,-60.74783707
2032120,-57.58601379
2037690,-55.09350586
2043260,-53.48411179
2048830,-53.16211319
2054400,-53.27463531
2059970,-54.64267731
2065540,-57.28178787
2071110,-59.67437363
2076680,-58.71606445
2082250,-58.64242935
2087820,-55.82431412
2093390,-57.16706467
2098960,-55.85163116
2104530,-63.54992676
2110100,-57.88217545
2115670,-54.33758545
2121240,-52.35871887
2126810,-52.02176666
2132380,-52.19553757
2137950,-54.12473297
2143520,-58.07913208
2149090,-59.39867401
2154660,-55.35450363
2160230,-53.98626328
2165800,-53.59133148
2171370,-53.60916519
2176940,-54.12217331
2182510,-55.19799423
2188080,-56.43313217
2193650,-58.03128052
2199220,-60.42703629
2204790,-61.50494766
2210360,-59.06637573
2215930,-60.5352211
2221500,-59.0737915
2227070,-66.53513336
2232640,-57.53927612
2238210,-54.15580368
2243780,-52.75244141
2249350,-53.17681885
2254920,-52.72027969
2260490,-55.2250061
2266060,-57.43657684
2271630,-57.38647461
2277200,-53.05255127
2282770,-51.26706314
2288340,-50.22320938
2293910,-49.8517952
2299480,-49.8519516
2305050,-49.94845581
2310620,-50.13508987
2316190,-50.35432053
2321760,-51.09439468
2327330,-53.09155655
2332900,-56.54639053
2338470,-59.76249313
2344040,-59.00030899
2349610,-58.86859131
2355180,-51.64722443
2360750,-48.34805679
2366320,-45.82317734
2371890,-44.38124466
2377460,-44.14120102
2383030,-44.28205872
2388600,-45.70566559
2394170,-48.9539032
2399740,-54.49324799
2405310,-57.60610962
2410880,-54.95721436
2416450,-54.24023819
2422020,-54.16617203
2427590,-54.3058548
2433160,-55.54869461
2438730,-58.9333725
2444300,-61.96736908
2449870,-62.03222656
2455440,-62.92113495
2461010,-63.27743912
2466580,-53.87509918
2472150,-49.4771843
2477720,-46.5447197
2483290,-45.15700912
2488860,-45.02795029
2494430,-45.26425171
2500000,-46.45288467
2505570,-47.53807068
2511140,-47.07608032
2516710,-47.06885529
2522280,-46.93952942
2527850,-47.41967773
2533420,-48.4852066
2538990,-51.2634201
2544560,-52.7533493
2550130,-52.59503555
2555700,-47.40266418
2561270,-47.29402161
2566840,-47.69301224
2572410,-48.10595322
2577980,-43.83391571
2583550,-41.46582413
2589120,-39.72042847
2594690,-38.64593506
2600260,-38.21590424
2605830,-37.88690567
2611400,-36.66301727
2616970,-34.7673645
2622540,-33.39334488
2628110,-33.23211288
2633680,-33.49843979
2639250,-34.00185013
2644820,-29.69045067
2650390,-27.40583229
2655960,-25.47491646
2661530,-23.53463173
2667100,-21.64173317
2672670,-20.03723145
2678240,-18.8470726
2683810,-18.05415535
2689380,-17.57995415
2694950,-17.35294533
2700520,-17.31948662
2706090,-17.34041023
2711660,-17.49501801
2717230,-17.76776314
2722800,-18.0770092
2728370,-18.41343117
2733940,-18.90530586
2739510,-19.81152725
2745080,-21.43996811
2750650,-24.00364685
2756220,-27.25067329
2761790,-30.2449894
2767360,-32.17416
2772930,-32.94255829
2778500,-33.79644012
2784070,-37.17700958
2789640,-41.21993256
2795210,-41.10422516
2800780,-38.59314728
2806350,-38.84821701
2811920,-41.27001572
2817490,-45.32909393
2823060,-47.35509872
2828630,-47.62247086
2834200,-47.88747787
2839770,-48.42066956
2845340,-49.00436401
2850910,-49.0414772
2856480,-46.18876266
2862050,-44.93756866
2867620,-44.61151123
2873190,-44.6337204
2878760,-45.08971786
2884330,-45.6312027
2889900,-45.45817184
2895470,-45.43671799
2901040,-45.65312958
2906610,-47.15853119
2912180,-50.6246376
2917750,-52.72161484
2923320,-51.66598892
2928890,-51.77884293
2934460,-53.41159058
2940030,-56.39707565
2945600,-58.06085968
2951170,-58.03598404
2956740,-56.82546234
2962310,-55.50062561
2967880,-52.79344177
2973450,-49.55134583
2979020,-46.91407776
2984590,-45.7166214
2990160,-45.70941925
2995730,-46.71210098
3001300,-50.39152527
3006870,-52.33875275
3012440,-50.51452637
3018010,-52.00222015
3023580,-50.54334259
3029150,-56.73690796
3034720,-56.03054428
3040290,-55.91346359
3045860,-51.98994064
3051430,-51.61780167
3057000,-51.64213181
3062570,-52.15156937
3068140,-52.78614426
3073710,-53.33284378
3079280,-54.13218689
3084850,-55.49593735
3090420,-58.15644836
3095990,-64.68554688
3101560,-57.8167572
3107130,-54.05542755
3112700,-52.24314117
3118270,-52.05882263
3123840,-52.29663086
3129410,-53.5233345
3134980,-55.10919952
3140550,-56.84508133
3146120,-57.70086288
3151690,-57.66565704
3157260,-56.438591
3162830,-56.50751495
3168400,-57.83200073
3173970,-61.14829254
3179540,-65.89585876
3185110,-66.68460083
3190680,-61.72171783
3196250,-60.47892761
3201820,-60.01589966
3207390,-59.99677277
3212960,-60.19375229
3218530,-61.22102737
3224100,-63.75109482
3229670,-69.98104095
3235240,-77.16023254
3240810,-76.93027496
3246380,-65.93799591
3251950,-65.79506683
3257520,-64.75959015
3263090,-68.61116791
3268660,-59.09518051
3274230,-57.23087311
3279800,-57.19277954
3285370,-57.95544052
3290940,-59.84305191
3296510,-60.47971725
3302080,-60.25883102
3307650,-60.3419075
3313220,-61.96587372
3318790,-65.65007019
3324360,-65.00693512
3329930,-64.9445343
3335500,-63.6599617
3341070,-63.24688721
3346640,-61.74147415
3352210,-59.82165146
3357780,-58.15447998
3363350,-56.7096405
3368920,-55.32852936
3374490,-54.13243484
3380060,-53.46109772
3385630,-53.42802811
3391200,-53.76111603
3396770,-55.58534241
3402340,-59.76989746
3407910,-64.4970932
3413480,-64.13505554
3419050,-64.09797668
3424620,-62.59070969
3430190,-62.50072098
3435760,-62.67348862
3441330,-63.7022171
3446900,-63.89904785
3452470,-63.87350845
3458040,-63.43511963
3463610,-64.00350952
3469180,-65.91065979
3474750,-65.8174057
3480320,-58.98282623
3485890,-56.29594421
3491460,-54.90583801
3497030,-54.71221161
3502600,-54.84664917
3508170,-55.84015656
3513740,-57.24491501
3519310,-58.92720795
3524880,-61.47789764
3530450,-63.04119873
3536020,-61.3710556
3541590,-63.47620773
3547160,-61.39242172
3552730,-69.19471741
3558300,-62.66308212
3563870,-60.76816177
3569440,-60.65203476
3575010,-61.23249054
3580580,-63.90272141
3586150,-67.39704132
3591720,-66.85324097
3597290,-66.74868774
3602860,-62.11156464
3608430,-60.78482056
3614000,-60.37234116
3619570,-60.37578583
3625140,-60.35977173
3630710,-59.6867981
3636280,-59.29912949
3641850,-59.31027603
3647420,-60.24580002
3652990,-63.02775574
3658560,-65.70396423
3664130,-65.88608551
3669700,-64.59957886
3675270,-65.04521942
3680840,-64.59600067
3686410,-67.21147919
3691980,-67.44016266
3697550,-67.34851837
3703120,-63.82673264
3708690,-63.14807892
3714260,-63.03928375
3719830,-62.81851578
3725400,-61.63757706
3730970,-59.87742233
3736540,-58.65369034
3742110,-58.53470612
3747680,-58.94593048
3753250,-61.50524139
3758820,-64.4112854
3764390,-64.3482132
3769960,-61.14965439
3775530,-60.19559097
3781100,-59.94355392
3786670,-59.96672058
3792240,-60.61960602
3797810,-62.26995087
3803380,-64.26624298
3808950,-64.76437378
3814520,-64.73303986
3820090,-64.73123932
3825660,-63.25769806
3831230,-63.14313126
3836800,-63.5992012
3842370,-65.92347717
3847940,-62.25357437
3853510,-59.70863342
3859080,-58.05929947
3864650,-57.24027252
3870220,-57.09295273
3875790,-57.14775467
3881360,-57.86882019
3886930,-59.58734512
3892500,-62.00634384
3898070,-63.4659462
3903640,-62.16946411
3909210,-62.10367584
3914780,-59.71795273
3920350,-59.50986481
3925920,-59.58475494
3931490,-60.62989044
3937060,-63.10863876
3942630,-67.06919861
3948200,-71.86162567
3953770,-73.54499817
3959340,-65.4363327
3964910,-61.38129044
3970480,-58.69455719
3976050,-57.24162674
3981620,-56.63611221
3987190,-56.57091141
3992760,-56.67051697
3998330,-57.43483353
4003900,-59.12274933
4009470,-61.58810806
4015040,-63.6235199
4020610,-64.11489868
4026180,-63.15242767
4031750,-63.13376999
4037320,-63.50149155
4042890,-64.17318726
4048460,-60.31465149
4054030,-58.03666306
4059600,-56.5757637
4065170,-56.040802
4070740,-56.04382706
4076310,-56.61671066
4081880,-58.56645203
4087450,-61.7328949
4093020,-62.63071823
4098590,-62.57381821
4104160,-60.96588135
4109730,-60.98825455
4115300,-61.84560394
4120870,-63.66698074
4126440,-65.00865936
4132010,-64.957901
4137580,-61.68692017
4143150,-61.09814453
4148720,-61.1072197
4154290,-61.83775711
4159860,-63.0215416
4165430,-63.91376495
4171000,-65.35952759
4176570,-69.0661087
4182140,-70.50563049
