Trace
Swept SA
A.14.10,N9010A
1185480,-44.0569496154785
1191050,-43.4798736572266
1196620,-43.2656631469727
1202190,-43.3536720275879
1207760,-44.7732543945313
1213330,-49.4213943481445
1218900,-51.8349342346191
1224470,-51.7588691711426
1230040,-48.5121459960938
1235610,-48.4076957702637
1241180,-48.7679710388184
1246750,-51.580135345459
1252320,-58.5787010192871
1257890,-58.4688148498535
1263460,-54.9247283935547
1269030,-58.1886177062988
1274600,-55.0904197692871
1280170,-63.2565612792969
1285740,-57.8699531555176
1291310,-54.3288345336914
1296880,-50.4967727661133
1302450,-47.5430564880371
1308020,-45.9380416870117
1313590,-45.3855285644531
1319160,-45.2682113647461
1324730,-45.2961082458496
1330300,-45.5298614501953
1335870,-46.6458549499512
1341440,-49.0732421875
1347010,-51.1218452453613
1352580,-48.6206245422363
1358150,-47.3235168457031
1363720,-47.0936889648438
1369290,-47.2392082214355
1374860,-48.4216918945313
1380430,-49.1033363342285
1386000,-48.730598449707
1391570,-48.7580909729004
1397140,-49.3226470947266
1402710,-49.8652839660645
1408280,-46.5181655883789
1413850,-44.445140838623
1419420,-42.9814910888672
1424990,-42.1334381103516
1430560,-41.8022384643555
1436130,-41.8083114624023
1441700,-41.9059753417969
1447270,-42.1302185058594
1452840,-41.9850273132324
1458410,-41.6017951965332
1463980,-41.2036476135254
1469550,-41.1000175476074
1475120,-41.1571769714355
1480690,-41.8011779785156
1486260,-43.2209396362305
1491830,-44.7043151855469
1497400,-44.8728790283203
1502970,-44.8694953918457
1508540,-44.0962982177734
1514110,-44.1198577880859
1519680,-44.2793388366699
1525250,-44.5358734130859
1530820,-44.9057846069336
1536390,-45.7809143066406
1541960,-47.4737930297852
1547530,-49.9082374572754
1553100,-52.6768608093262
1558670,-54.303279876709
1564240,-53.4992561340332
1569810,-53.4733390808105
1575380,-50.1104698181152
1580950,-47.3912086486816
1586520,-44.4401473999023
1592090,-41.9476623535156
1597660,-40.397331237793
1603230,-40.0223960876465
1608800,-40.0811576843262
1614370,-41.0626411437988
1619940,-43.0679130554199
1625510,-44.8390579223633
1631080,-45.1119384765625
1636650,-45.1398048400879
1642220,-45.9473419189453
1647790,-49.3063735961914
1653360,-56.8184471130371
1658930,-57.2229309082031
1664500,-53.0170097351074
1670070,-50.2484855651855
1675640,-47.0755805969238
1681210,-44.156795501709
1686780,-41.9391632080078
1692350,-40.6108322143555
1697920,-40.2542152404785
1703490,-40.2916603088379
1709060,-41.1157875061035
1714630,-43.3952026367188
1720200,-47.1555633544922
1725770,-49.5995903015137
1731340,-47.8973617553711
1736910,-47.4265174865723
1742480,-47.4523620605469
1748050,-48.4763603210449
1753620,-51.4159049987793
1759190,-52.9092903137207
1764760,-49.782169342041
1770330,-48.6149101257324
1775900,-46.4500846862793
1781470,-43.7114028930664
1787040,-41.5611572265625
1792610,-40.510913848877
1798180,-40.4347267150879
1803750,-40.6725387573242
1809320,-41.9271659851074
1814890,-44.1947212219238
1820460,-47.5179710388184
1826030,-52.4030303955078
1831600,-60.3115196228027
1837170,-60.1157379150391
1842740,-50.9760475158691
1848310,-48.8737754821777
1853880,-48.6777305603027
1859450,-48.9511833190918
1865020,-47.9471893310547
1870590,-47.8636131286621
1876160,-43.7745132446289
1881730,-43.3844528198242
1887300,-43.5610694885254
1892870,-46.2651023864746
1898440,-53.6065635681152
1904010,-53.4089736938477
1909580,-47.0717506408691
1915150,-46.7573776245117
1920720,-47.0042419433594
1926290,-49.1106948852539
1931860,-53.7647857666016
1937430,-61.8605804443359
1943000,-66.5090637207031
1948570,-67.7312316894531
1954140,-58.5043487548828
1959710,-52.7067337036133
1965280,-48.1584091186523
1970850,-44.9223442077637
1976420,-42.8127365112305
1981990,-41.5427017211914
1987560,-40.8020362854004
1993130,-40.3660545349121
1998700,-40.2013320922852
2004270,-40.217227935791
2009840,-40.5309143066406
2015410,-41.7308235168457
2020980,-44.4599113464355
2026550,-48.447624206543
2032120,-45.0253524780273
2037690,-42.5196304321289
2043260,-40.9506645202637
